Uuid,Role name,Description,Inherited roles,Privileges,_order:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab2160f6-0941-430c-9752-6714353fbd3c,Privilege Level: Full,A role that has all API privileges,,Manage Concept Classes, Delete Patient Identifiers, Configure Visits, Preview Forms, Manage Privileges, Get Order Sets, View Navigation Menu, Delete Cohorts, Manage Forms, Delete Patient Programs, Manage Field Types, Add Observations, View Encounters, View Problems, Delete HL7 Inbound Exception, Update HL7 Source, View Metadata Via Mapping, Delete HL7 Inbound Archive, Add Concept Proposals, Add Patient Identifiers, View Locations, Patient Dashboard - View Encounters Section, Manage FormEntry XSN, Purge Field Types, Manage Order Set Attribute Types, Edit Concept Proposals, View Data Entry Statistics, Edit Problems, Manage Modules, Add Relationships, Manage Concept Attribute Types, Add Visits, Add Patients, Patient Dashboard - View Graphs Section, Patient Dashboard - View Demographics Section, Add Orders, Delete Encounters, Manage Address Templates, Delete Relationships, Manage HL7 Messages, Get Notes, Edit Diagnoses, Upload XSN, View Unpublished Forms, Manage Programs, View Patients, Get Conditions, Add Problems, View Programs, Patient Dashboard - View Overview Section, Manage Concept Stop Words, Manage Roles, View Concept Classes, Manage Address Hierarchy, View Observations, Manage Identifier Sources, Manage RESTWS, Get Visit Types, Get HL7 Inbound Exception, View Concept Sources, Get Visit Attribute Types, Get Visits, Get Providers, Get Location Attribute Types, Get Encounter Roles, Manage OWA, Get HL7 Source, Add HL7 Inbound Archive, Get HL7 Inbound Archive, Delete Orders, Get HL7 Inbound Queue, Assign System Developer Role, View RESTWS, Edit Patient Programs, Manage Location Attribute Types, Remove Problems, Add Patient Programs, Edit Cohorts, Manage Concept Map Types, Edit Users, Patient Dashboard - View Patient Summary, Get Concept Attribute Types, Add HL7 Inbound Queue, Get Concept Datatypes, Get Concept Classes, Get Roles, Manage Scheduler, Get Privileges, Get Order Types, Delete Observations, Get Field Types, Get Concept Sources, Get Relationship Types, Update HL7 Inbound Archive, Update HL7 Inbound Queue, Get Identifier Types, Edit People, Delete People, Edit Patient Identifiers, View Orders, Get Forms, Get Orders, View Administration Functions, Manage Global Properties, View Patient Identifiers, Get Global Properties, Get Patient Programs, Get People, Get Person Attribute Types, Get Database Changes, Get Relationships, Get Allergies, Edit Orders, Get Problems, View Allergies, Manage Implementation Id, Get Programs, Get Concept Reference Terms, Get Order Frequencies, View Concept Proposals, Manage Encounter Types, View Roles, Get Concept Map Types, Add Allergies, Patient Dashboard - View Forms Section, Add HL7 Inbound Exception, Delete HL7 Inbound Queue, View People, Edit Allergies, Manage Location Tags, Manage Concept Reference Terms, Delete Diagnoses, Manage Person Attribute Types, Patient Overview - View Relationships, Patient Overview - View Programs, Patient Overview - View Problem List, Patient Overview - View Allergies, Manage Order Types, Get Encounters, Get Users, Get Locations, Manage Alerts, Get Encounter Types, Get Patients, View Identifier Types, Get Observations, Edit Observations, Get Patient Cohorts, Manage Providers, Get Patient Identifiers, Delete Users, Manage Locations, Manage Concept Name tags, Manage Metadata Mapping, View Forms, Edit Conditions, Add HL7 Source, Add Users, Get Concepts, View Relationship Types, Edit Notes, Get Concept Proposals, Manage Search Index, View Relationships, Manage Relationships, Generate Batch of Identifiers, View Patient Programs, Edit User Passwords, View Person Attribute Types, View Patient Cohorts, Add Encounters, Upload Batch of Identifiers, View Field Types, View Encounter Types, Manage Identifier Types, Remove Allergies, Update HL7 Inbound Exception, View Order Types, Get Diagnoses Attribute Types, Patient Overview - View Patient Actions, Patient Dashboard - View Regimen Section, Add Cohorts, Delete Visits, Manage Order Frequencies, Edit Relationships, Manage Auto Generation Options, Manage Concepts, Manage Concept Datatypes, Add People, Manage Encounter Roles, View Privileges, Delete Patients, Delete Concept Proposals, Manage Visit Types, Delete Conditions, View Concept Datatypes, Edit Patients, Delete Notes, Edit Encounters, View Concepts, Manage Visit Attribute Types, Form Entry, View Global Properties, Get Care Settings, Manage Concept Sources, Manage Order Sets, Get Order Set Attribute Types, Manage Relationship Types, Get Diagnoses, Edit Visits, View Users, Share Metadata
f089471c-e00b-468e-96e8-46aea1b339af,Privilege Level: High,A role that has all API privileges except administrative privileges with security implications,,Manage Concept Classes, Delete Patient Identifiers, Configure Visits, Preview Forms, Get Order Sets, View Navigation Menu, Delete Cohorts, Manage Forms, Delete Patient Programs, Manage Field Types, Add Observations, View Encounters, View Problems, Delete HL7 Inbound Exception, Update HL7 Source, View Metadata Via Mapping, Delete HL7 Inbound Archive, Add Concept Proposals, Add Patient Identifiers, View Locations, Patient Dashboard - View Encounters Section, Manage FormEntry XSN, Purge Field Types, Manage Order Set Attribute Types, Edit Concept Proposals, View Data Entry Statistics, Edit Problems, Manage Modules, Add Relationships, Manage Concept Attribute Types, Add Visits, Add Patients, Patient Dashboard - View Graphs Section, Patient Dashboard - View Demographics Section, Add Orders, Delete Encounters, Manage Address Templates, Delete Relationships, Manage HL7 Messages, Get Notes, Edit Diagnoses, Upload XSN, View Unpublished Forms, Manage Programs, View Patients, Get Conditions, Add Problems, View Programs, Patient Dashboard - View Overview Section, Manage Concept Stop Words, Manage Roles, View Concept Classes, Manage Address Hierarchy, View Observations, Manage Identifier Sources, Manage RESTWS, Get Visit Types, Get HL7 Inbound Exception, View Concept Sources, Get Visit Attribute Types, Get Visits, Get Providers, Get Location Attribute Types, Get Encounter Roles, Manage OWA, Get HL7 Source, Add HL7 Inbound Archive, Get HL7 Inbound Archive, Delete Orders, Get HL7 Inbound Queue, Assign System Developer Role, View RESTWS, Edit Patient Programs, Manage Location Attribute Types, Remove Problems, Add Patient Programs, Edit Cohorts, Manage Concept Map Types, Edit Users, Patient Dashboard - View Patient Summary, Get Concept Attribute Types, Add HL7 Inbound Queue, Get Concept Datatypes, Get Concept Classes, Get Roles, Manage Scheduler, Get Privileges, Get Order Types, Delete Observations, Get Field Types, Get Concept Sources, Get Relationship Types, Update HL7 Inbound Archive, Update HL7 Inbound Queue, Get Identifier Types, Edit People, Delete People, Edit Patient Identifiers, View Orders, Get Forms, Get Orders, View Administration Functions, Manage Global Properties, View Patient Identifiers, Get Global Properties, Get Patient Programs, Get People, Get Person Attribute Types, Get Database Changes, Get Relationships, Get Allergies, Edit Orders, Get Problems, View Allergies, Manage Implementation Id, Get Programs, Get Concept Reference Terms, Get Order Frequencies, View Concept Proposals, Manage Encounter Types, View Roles, Get Concept Map Types, Add Allergies, Patient Dashboard - View Forms Section, Add HL7 Inbound Exception, Delete HL7 Inbound Queue, View People, Edit Allergies, Manage Location Tags, Manage Concept Reference Terms, Delete Diagnoses, Manage Person Attribute Types, Patient Overview - View Relationships, Patient Overview - View Programs, Patient Overview - View Problem List, Patient Overview - View Allergies, Manage Order Types, Get Encounters, Get Users, Get Locations, Manage Alerts, Get Encounter Types, Get Patients, View Identifier Types, Get Observations, Edit Observations, Get Patient Cohorts, Manage Providers, Get Patient Identifiers, Delete Users, Manage Locations, Manage Concept Name tags, Manage Metadata Mapping, View Forms, Edit Conditions, Add HL7 Source, Add Users, Get Concepts, View Relationship Types, Edit Notes, Get Concept Proposals, Manage Search Index, View Relationships, Manage Relationships, Generate Batch of Identifiers, View Patient Programs, Edit User Passwords, View Person Attribute Types, View Patient Cohorts, Add Encounters, Upload Batch of Identifiers, View Field Types, View Encounter Types, Manage Identifier Types, Remove Allergies, Update HL7 Inbound Exception, View Order Types, Get Diagnoses Attribute Types, Patient Overview - View Patient Actions, Patient Dashboard - View Regimen Section, Add Cohorts, Delete Visits, Manage Order Frequencies, Edit Relationships, Manage Auto Generation Options, Manage Concepts, Manage Concept Datatypes, Add People, Manage Encounter Roles, View Privileges, Delete Patients, Delete Concept Proposals, Manage Visit Types, Delete Conditions, View Concept Datatypes, Edit Patients, Delete Notes, Edit Encounters, View Concepts, Manage Visit Attribute Types, Form Entry, View Global Properties, Get Care Settings, Manage Concept Sources, Manage Order Sets, Get Order Set Attribute Types, Manage Relationship Types, Get Diagnoses, Edit Visits, View Users,,
d8ddab2c-20a5-4a3c-b209-856c7fe839cd,Application: Administers System,Administers system,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f04f24c-e433-4bc7-95cd-975b6f003207,Application: Configures Forms,Manages forms and attaches them to the UI,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66fa1ec4-5d30-4127-a693-d8b1f9519a14,Application: Configures Metadata,Access to Configure Metadata app,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9873dba9-484f-42c2-a98d-f224bd65117a,Application: Edits Existing Encounters,Gives user the ability to edit patient encounter,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc978fe8-b574-4e11-be54-626ae2d28ed8,Application: Enters ADT Events,Enters ADT events,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eba658df-fa88-4dab-b000-57e1e5cb2e43,Application: Enters Vitals,Enters vitals,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb393086-d6ec-4bcb-a300-5815a554c4ae,Application: Has Super User Privileges,Extends the underlying System Developer API role,System Developer, Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,Application: Records Allergies,Records and edits allergies,Privilege Level: High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
